Starting run
3.65745: savoy
3.60216: scene
3.60518: manic
3.66307: payee
3.57581: birth
3.60043: admit
3.58488: plume
3.59395: dopey
3.59611: leper
3.5892: beret
3.67214: rebar
3.61685: brawl
3.57322: tulip
3.61944: fraud
3.60994: elfin
3.6406: mover
3.61771: neigh
3.66479: dried
3.63715: fetus
3.63888: welsh
3.56026: cramp
3.59395: primo
3.71404: audio
3.55983: guilt
3.64147: eight
3.59136: cloak
3.63931: vista
3.56587: prism
3.58272: briny
3.65832: blaze
3.60518: turbo
3.58056: roost
3.61382: fetid
3.61641: flesh
3.58013: mourn
3.57581: blend
3.68596: rerun
3.61901: shelf
3.59352: right
3.55378: donut
3.6203: swarm
3.58359: china
3.60648: niece
3.59179: manly
3.71749: extol
3.60475: elect
3.62117: elope
3.59827: elder
3.63499: natal
3.63153: glove
3.59395: preen
3.59827: spark
3.58531: bison
3.70281: bribe
3.58877: march
3.58099: login
3.68942: diode
3.68855: octet
3.68985: tweak
3.55335: sound
3.53045: gland
3.69374: heavy
3.63456: giver
3.62419: bowel
3.62073: trunk
3.67948: apnea
3.55248: croup
3.59438: flash
3.63024: riper
3.61339: shady
3.56415: built
3.58747: dense
3.61555: torso
3.63629: egret
3.66609: zonal
3.5676: slimy
3.71577: askew
3.59482: bicep
3.69676: gorge
3.6959: knave
3.65313: ratty
3.63542: rider
3.57279: slack
3.60821: logic
3.60691: gnash
3.63326: bleak
3.54212: bland
3.62937: apart
3.65788: label
3.59568: denim
3.60691: forty
3.6108: lusty
3.62203: brawn
3.58229: sprig
3.64622: cello
3.66479: ether
3.57883: froth
3.58488: charm
3.62073: tawny
3.58747: tunic
3.73521: gauze
3.64665: evict
3.64752: covey
3.62419: elide
3.64492: sheik
3.58272: throb
3.64622: yacht
3.60648: wield
3.56933: spout
3.58877: field
3.66134: piper
3.58143: shout
3.59914: depth
3.55119: flint
3.60605: cavil
3.61901: puree
3.57754: south
3.62549: befit
3.70454: exist
3.6324: whirl
3.62721: steed
3.57711: crush
3.68639: dress
3.5689: drift
3.6419: nasal
3.58877: binge
3.65961: video
3.60259: bused
3.74946: gauge
3.61382: shawl
3.63542: unity
3.5987: nomad
3.63931: joist
3.62505: anvil
3.62505: ingot
3.56026: sting
3.61253: debut
3.62376: agony
3.67559: tithe
3.62808: siege
3.65659: bravo
3.59266: flout
3.73305: quail
3.59914: mount
3.61123: optic
3.62333: vocal
3.72829: zebra
3.6: prowl
3.77495: equal
3.58877: slink
3.65097: titan
3.69762: cache
3.67214: posse
3.59438: forth
3.6108: lingo
3.60821: genre
3.64752: rodeo
3.57667: candy
3.62894: laugh
3.5797: psalm
3.6: world
3.57495: stamp
3.58272: gonad
3.59266: stack
3.57235: deign
3.59698: sleep
3.65529: order
3.67775: leave
3.63369: choke
3.66177: roger
3.65788: vegan
3.54687: could
3.67127: moose
3.56803: clank
3.56285: cloud
3.62376: rupee
3.68423: harsh
3.67991: goose
3.66436: briar
3.67603: rally
3.68942: circa
3.69719: froze
3.56371: prong
3.58747: lurch
3.55896: midst
3.60648: rebel
3.61425: datum
3.67473: totem
3.62246: sheen
3.63801: shirk
3.62635: medic
3.65616: hymen
3.66048: newly
3.61382: derby
3.60821: synod
3.62765: sigma
3.70065: juice
3.62419: women
3.59914: shiny
3.56458: proud
3.58229: blunt
3.58445: shaft
3.62937: frank
3.71317: sheet
3.65616: ebony
3.66004: taunt
3.64838: ardor
3.5905: crepe
3.64492: tacit
3.63974: belie
3.64665: duvet
3.60432: chief
3.64708: trout
3.63672: liege
3.69201: radii
3.65745: favor
3.59438: creed
3.65011: femur
3.62721: semen
3.71404: these
3.6527: perky
3.70281: theta
3.62246: devil
3.69978: hello
3.59438: sumac
3.61641: green
3.61857: betel
3.68553: grass
3.72484: oxide
3.68078: virus
3.66911: risky
3.70151: jaunt
3.66782: legal
3.66955: recur
3.62981: snaky
3.57538: tipsy
3.5879: plank
3.6: bugle
3.60994: bulge
3.64838: below
3.60994: swept
3.60216: thank
3.62549: being
3.91102: rarer
3.69417: major
3.60864: creme
3.60648: creep
3.75637: issue
3.55248: patch
3.70497: bayou
3.60259: sword
3.61425: light
3.62894: growl
3.60562: belch
3.79827: sewer
3.71361: detox
3.7257: beset
3.58272: crown
3.62462: begin
3.70626: ivory
3.63413: brisk
3.61469: polka
3.61944: valid
3.68467: press
3.65184: ensue
3.59093: snack
3.72181: helix
3.64104: stool
3.55637: chord
3.62765: smirk
3.68985: crazy
3.58531: ghost
3.62376: flume
3.57538: frond
3.60821: scowl
3.81296: verse
3.60821: shank
3.6121: worth
3.8419: essay
3.80043: serve
3.61944: handy
3.63413: lanky
3.6406: alarm
3.63542: color
3.62765: salad
3.62376: mango
3.65356: carry
3.56803: churn
3.67775: obese
3.6743: pixel
3.77408: sauna
3.65832: tutor
3.68639: boxer
3.61857: humor
3.70238: shell
3.63413: fleet
3.62333: gusto
3.60605: widen
3.66911: tryst
3.74039: testy
3.67689: imbue
3.70583: exult
3.58661: notch
3.73261: zesty
3.67732: aroma
3.64924: swami
3.71793: odder
3.62721: gamut
3.79611: quake
3.66479: armor
3.60389: caulk
3.57624: slick
3.61037: brush
3.61771: nudge
3.57711: cling
3.6851: brass
3.63369: droll
3.7054: eying
3.6203: rough
3.62765: epoch
3.61296: slung
3.73866: waxen
3.60994: scrum
3.70194: stilt
3.64579: class
3.77106: valve
3.60648: aping
3.65227: local
3.61253: shunt
3.71879: still
3.66868: tally
3.61512: fiend
3.66739: cross
3.76717: axion
3.70065: swath
3.60432: trump
3.66263: purer
3.57408: chirp
3.69028: friar
3.59784: group
3.62376: steep
3.69028: vowel
3.65097: tacky
3.56328: porch
3.57235: crimp
3.61728: bench
3.61555: midge
3.6406: lofty
3.673: lorry
3.64104: prior
3.78056: quasi
3.60475: truck
3.69417: stink
3.77106: joker
3.727: cheer
3.70194: piece
3.61771: throw
3.62937: trust
3.70238: cacti
3.61598: input
3.66479: sorry
3.62808: scrub
3.71145: adage
3.82073: sever
3.61598: bigot
3.89374: eerie
3.62808: drill
3.61814: spawn
3.63413: pouty
3.54903: grind
3.66739: dozen
3.62333: admin
3.66479: gravy
3.65313: scuba
3.6514: twang
3.78704: agape
3.66307: sally
3.58359: spiny
3.60475: gourd
3.61901: syrup
3.64276: welch
3.63888: drool
3.69849: avoid
3.55896: clamp
3.60086: month
3.7378: shall
3.67084: joint
3.63283: among
3.69849: loyal
3.72052: agora
3.6959: bible
3.61339: canal
3.6838: topaz
3.66695: human
3.72959: cycle
3.6: lucid
3.71404: ahead
3.76415: slash
3.78272: query
3.58877: touch
3.60864: spank
3.66609: minty
3.67171: canon
3.63758: batch
3.63283: match
3.66436: youth
3.68855: sight
3.7486: quest
3.63974: aphid
3.70324: vogue
3.7067: borax
3.64233: magic
3.63197: silky
3.62376: feign
3.7784: quota
3.673: tasty
3.71577: fixer
3.66393: arbor
3.73607: genie
3.67214: venom
3.66307: knife
3.64968: burly
3.67862: truss
3.64924: macho
3.59179: drink
3.65486: ruder
3.66911: woken
3.63326: fetch
3.61901: shrug
3.7905: squat
3.64406: sleek
3.59784: bring
3.64276: hydro
3.69244: rower
3.70022: iliac
3.61037: stock
3.68726: tenth
3.71145: suing
3.59654: scamp
3.59006: drown
3.71015: enema
3.6959: wooer
3.68596: lilac
3.68423: libel
3.66998: chasm
3.65486: elude
3.58834: clown
3.67991: smith
3.62505: thrum
3.69762: gecko
3.67171: elbow
3.59352: birch
3.58877: spicy
3.68985: alloy
3.69201: harry
3.65659: woman
3.77711: segue
3.66695: dryer
3.60994: thong
3.65788: foamy
3.76285: sweet
3.66955: fluke
3.77235: revel
3.7797: lever
3.58618: child
3.57149: blond
3.67473: tying
3.75162: renew
3.63499: pivot
3.62549: fancy
3.69806: attic
3.64536: unfed
3.64752: wagon
3.65832: pence
3.61339: nobly
3.66739: dross
3.64838: ghoul
3.72268: fella
3.65788: vigor
3.72441: smell
3.66695: etude
3.66868: aglow
3.66609: spell
3.66393: reedy
3.82678: heave
3.62333: blank
3.59266: madly
3.79093: frisk
3.67387: hence
3.66048: grill
3.67991: hefty
3.62851: shrub
3.84622: sieve
3.60648: stomp
3.62419: grimy
3.74168: minus
3.63153: bonus
3.76458: newer
3.67819: toxin
3.63326: troop
3.62376: brink
3.68251: slunk
3.78661: nerve
3.73045: pique
3.66523: rumba
3.69071: umbra
3.67559: stung
3.6622: strut
3.70194: stick
3.85702: river
3.66004: thing
3.89244: seize
3.75767: quilt
3.64363: given
3.66566: unwed
3.82678: rover
3.63499: tough
3.63067: dusty
3.63153: study
3.74989: upper
3.63542: motif
3.66177: filth
3.75508: rabbi
3.6959: seedy
3.71404: annul
3.72484: udder
3.6324: flask
3.65788: vomit
3.68078: weigh
3.77754: abbey
3.65184: wench
3.76328: gouge
3.74384: usual
3.72786: envoy
3.66998: rocky
3.69935: taboo
3.66263: parry
3.66134: leech
3.65961: wrack
3.75896: shaky
3.62937: hound
3.67343: watch
3.61382: morph
3.68596: night
3.7067: arrow
3.66911: woven
3.66263: mocha
3.79352: await
3.64579: lying
3.61382: lunch
3.68035: empty
3.66955: endow
3.68942: deuce
3.63456: flank
3.67387: wreck
3.6946: merry
3.7473: junta
3.63542: ditch
3.60864: doubt
3.77451: offer
3.71577: koala
3.60173: badly
3.77019: small
3.76847: creek
3.6635: whelp
3.71965: catty
3.62937: mouth
3.61641: wrong
3.68078: kneel
3.61685: brown
3.61857: grown
3.7987: seven
3.75853: merge
3.67732: rigor
3.73132: stint
3.59309: crowd
3.86393: basis
3.6635: clink
3.59741: prick
3.78272: glass
3.77883: never
3.64838: limbo
3.74687: greed
3.70367: gooey
3.75508: toxic
3.68726: havoc
3.65097: lynch
3.72052: theme
3.78359: using
3.65529: honor
3.61037: doing
3.61857: drunk
3.80043: gross
3.73952: pesky
3.63413: music
3.70886: snowy
3.61944: pound
3.63758: blind
3.61987: wring
3.77711: pasta
3.65832: motor
3.71058: shift
3.67387: chalk
3.7473: bless
3.727: krill
3.73348: sooty
3.65572: begun
3.72657: mecca
3.72441: annoy
3.86393: amiss
3.63715: phony
3.66825: plush
3.69287: marry
3.69417: unfit
3.62808: amply
3.77019: speed
3.83456: revue
3.75076: joust
3.69071: berry
3.654: privy
3.68898: stunk
3.63974: pitch
3.66825: guild
3.68078: pithy
3.76156: butte
3.73823: itchy
3.75248: slosh
3.71577: gaudy
3.6851: blush
3.70929: index
3.7473: breed
3.62721: clung
3.86523: gaffe
3.71188: gusty
